               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11015,            0.049359,            0.027663,          0.00039286,            0.053551,          0.00022767,          4.2434e-05,             0.10574,            0.030426,            0.027292,               3e-05,               3e-05,             0.09973
                   1,             0.10896,            0.044318,            0.027672,          0.00045833,             0.11892,          0.00034365,          6.9111e-05,            0.097573,            0.026776,             0.02686,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.10511,            0.046803,            0.027383,          0.00048958,             0.12703,          0.00032374,          6.3523e-05,            0.094637,             0.02531,             0.02655,          0.00010999,          0.00010999,             0.09901
                   3,             0.10344,            0.046024,            0.026513,          0.00046875,             0.12162,          0.00034566,          7.0571e-05,            0.093951,            0.024478,            0.026354,          0.00014997,          0.00014997,             0.09865
                   4,              0.1021,            0.043532,            0.026097,          0.00046875,             0.12162,          0.00034546,          6.9007e-05,            0.094646,            0.024151,            0.026344,          0.00018993,          0.00018993,             0.09829
                   5,             0.10001,             0.04748,            0.025955,          0.00046875,             0.12162,          0.00034504,          7.0656e-05,            0.095373,            0.024089,            0.026358,          0.00022986,          0.00022986,             0.09793
                   6,             0.10165,            0.044176,            0.025689,          0.00045833,             0.11892,          0.00033307,          6.8342e-05,            0.095536,            0.024165,            0.026369,          0.00026976,          0.00026976,             0.09757
                   7,             0.10077,            0.047729,            0.025909,          0.00045833,             0.11892,          0.00031142,          6.6051e-05,            0.095478,            0.024346,            0.026241,          0.00030963,          0.00030963,             0.09721
                   8,             0.10027,             0.04518,            0.025205,          0.00046875,             0.12162,          0.00034546,           6.587e-05,            0.095237,            0.024478,             0.02624,          0.00034945,          0.00034945,            0.096849
                   9,            0.099601,            0.047911,            0.025679,          0.00044792,             0.11622,          0.00032806,          6.7909e-05,            0.094821,            0.024555,            0.026333,          0.00038922,          0.00038922,            0.096489
                  10,              0.1016,            0.044881,            0.025407,          0.00045833,             0.11892,          0.00033307,          6.7034e-05,            0.095436,            0.024498,            0.026358,          0.00042894,          0.00042894,            0.096129
                  11,             0.10057,            0.051621,            0.025259,          0.00044792,             0.11622,          0.00032334,           6.777e-05,            0.095606,            0.024502,            0.026291,           0.0004686,           0.0004686,            0.095769
                  12,                 0.1,            0.051785,            0.026108,          0.00045833,             0.11892,          0.00033402,          6.9964e-05,            0.094603,            0.024649,            0.026222,          0.00050819,          0.00050819,            0.095408
                  13,             0.10068,            0.048603,            0.025382,          0.00045833,             0.11892,          0.00033301,          6.9675e-05,            0.094926,            0.024638,            0.026307,          0.00054771,          0.00054771,            0.095048
                  14,            0.099801,            0.049883,            0.025388,          0.00045833,             0.11892,           0.0003437,          7.0912e-05,            0.094637,            0.024704,            0.026286,          0.00058715,          0.00058715,            0.094687
                  15,            0.098344,            0.048351,            0.025174,          0.00044792,             0.11622,          0.00032806,          6.8561e-05,            0.093819,            0.024759,            0.026275,          0.00062651,          0.00062651,            0.094327
                  16,            0.095531,             0.05043,            0.025435,          0.00045833,             0.11892,          0.00033307,          6.7819e-05,            0.092731,            0.024865,            0.026254,          0.00066578,          0.00066578,            0.093966
                  17,            0.096118,            0.052598,             0.02554,          0.00045833,             0.11892,           0.0004316,          8.6017e-05,            0.091439,            0.024931,            0.026209,          0.00070495,          0.00070495,            0.093605
                  18,            0.095643,            0.050164,            0.024852,          0.00040625,             0.10541,          0.00035958,            8.09e-05,            0.090329,            0.024873,             0.02622,          0.00074402,          0.00074402,            0.093244
                  19,            0.094523,            0.053679,            0.024798,          0.00038542,                 0.1,          0.00036341,          8.2229e-05,            0.089815,             0.02483,            0.026149,          0.00078299,          0.00078299,            0.092883
                  20,            0.093216,            0.053831,            0.024995,            0.000375,            0.097297,          0.00039297,          9.8198e-05,            0.089378,            0.024544,            0.026039,          0.00082184,          0.00082184,            0.092522
                  21,            0.090693,            0.054261,            0.024104,          0.00036458,            0.094595,            0.000314,          6.5156e-05,            0.089018,            0.024182,            0.025965,          0.00086057,          0.00086057,            0.092161
                  22,            0.089449,            0.054362,            0.024617,          0.00035417,            0.091892,          0.00023127,            5.88e-05,            0.088987,            0.023724,            0.025819,          0.00089918,          0.00089918,            0.091799
                  23,            0.088307,            0.051609,            0.024382,          0.00034375,            0.089189,          0.00020877,          5.5579e-05,            0.089164,            0.023186,            0.025578,          0.00093766,          0.00093766,            0.091438
                  24,            0.091276,            0.055306,            0.025107,          0.00037027,            0.091892,          0.00022657,          5.3603e-05,            0.089518,            0.022679,            0.025336,            0.000976,            0.000976,            0.091076
                  25,            0.087585,             0.04986,            0.023571,             0.50029,            0.059459,          0.00014855,          3.7776e-05,            0.091306,            0.021702,            0.025212,           0.0010142,           0.0010142,            0.090714
                  26,             0.08934,            0.049826,            0.023124,             0.50024,            0.048649,          0.00015913,          3.3543e-05,            0.092925,            0.020874,            0.025114,           0.0010523,           0.0010523,            0.090352
                  27,            0.087832,             0.05191,            0.022648,          0.00041943,            0.077577,          0.00030401,          6.0701e-05,            0.093947,            0.020412,            0.024965,           0.0010902,           0.0010902,             0.08999
                  28,            0.087611,            0.049091,            0.022401,              0.5038,            0.010811,          0.00051056,          8.2051e-05,            0.094993,            0.019948,            0.024754,           0.0011279,           0.0011279,            0.089628
                  29,            0.087024,            0.047967,            0.021588,           0.0017839,            0.032432,          0.00092006,          0.00017724,            0.096423,            0.019283,            0.024479,           0.0011655,           0.0011655,            0.089265
                  30,            0.087572,            0.050709,            0.021274,            0.014488,            0.013514,           0.0011323,          0.00030958,             0.09384,            0.019937,             0.02399,           0.0012029,           0.0012029,            0.088903
                  31,            0.085673,            0.049346,             0.01963,            0.033489,            0.016216,           0.0025026,          0.00050269,            0.096386,            0.019045,            0.023434,           0.0012401,           0.0012401,             0.08854
                  32,            0.089866,            0.048079,            0.019638,            0.014207,            0.032432,           0.0028867,          0.00054465,            0.087552,            0.021153,            0.022417,           0.0012772,           0.0012772,            0.088177
                  33,            0.086155,            0.047883,            0.019658,            0.024149,            0.045144,           0.0035841,          0.00084176,            0.089644,            0.020539,            0.021335,           0.0013141,           0.0013141,            0.087814
                  34,            0.087741,            0.048084,            0.017389,            0.068689,              0.1033,             0.01517,           0.0029173,            0.085229,            0.021111,            0.020033,           0.0013508,           0.0013508,            0.087451
                  35,            0.086085,            0.045294,            0.018007,            0.094901,            0.092488,           0.0079859,           0.0016703,            0.086876,            0.021842,            0.020004,           0.0013873,           0.0013873,            0.087087
                  36,            0.085497,            0.043564,            0.016445,            0.040316,             0.18747,            0.021125,            0.005319,            0.084321,            0.024162,            0.019016,           0.0014235,           0.0014235,            0.086724
                  37,            0.086599,            0.044592,            0.015439,             0.04817,             0.17834,            0.029322,           0.0062271,            0.077547,            0.021589,            0.015899,           0.0014596,           0.0014596,             0.08636
                  38,            0.086275,            0.044782,            0.016074,             0.15013,              0.1896,            0.057565,            0.013551,            0.077043,            0.021167,            0.015172,           0.0014955,           0.0014955,            0.085995
                  39,            0.088861,            0.041613,            0.014664,            0.099275,              0.2342,            0.075347,            0.018378,            0.067912,            0.022427,              0.0174,           0.0015312,           0.0015312,            0.085631
                  40,            0.083585,            0.041395,            0.014232,             0.22178,             0.19336,              0.1139,            0.028013,            0.065863,            0.022329,            0.013672,           0.0015666,           0.0015666,            0.085267
                  41,            0.085669,            0.038707,            0.013497,             0.19905,             0.22909,             0.11598,            0.030533,            0.070324,            0.026675,             0.01111,           0.0016018,           0.0016018,            0.084902
                  42,            0.083959,            0.038299,            0.013229,              0.1638,             0.23239,             0.10943,            0.023956,            0.070725,            0.022484,           0.0093384,           0.0016368,           0.0016368,            0.084537
                  43,            0.087066,            0.039158,            0.011036,             0.12829,            0.073065,            0.039501,            0.011059,            0.081865,            0.023772,            0.010702,           0.0016715,           0.0016715,            0.084172
                  44,            0.084399,            0.037282,            0.010998,             0.22533,             0.13349,            0.049815,            0.010358,            0.079419,            0.023433,            0.024561,            0.001706,            0.001706,            0.083806
                  45,            0.089059,            0.035269,            0.010006,             0.14374,             0.27422,            0.084295,            0.019026,            0.080873,            0.024814,           0.0086965,           0.0017402,           0.0017402,             0.08344
                  46,            0.082343,            0.034603,           0.0097174,              0.2368,              0.2215,              0.1498,            0.032414,            0.077567,            0.039435,           0.0069341,           0.0017742,           0.0017742,            0.083074
                  47,            0.083971,             0.03798,           0.0094441,             0.16073,             0.22206,            0.092573,            0.019982,            0.066907,            0.021775,            0.021049,            0.001808,            0.001808,            0.082708
                  48,            0.081055,            0.034708,           0.0089376,            0.082602,             0.17783,            0.033819,           0.0074242,            0.079407,            0.024765,            0.022096,           0.0018415,           0.0018415,            0.082341
                  49,            0.084829,            0.036886,              0.0079,             0.15806,             0.25211,            0.083254,            0.016526,            0.076494,            0.022567,           0.0074512,           0.0018747,           0.0018747,            0.081975
                  50,            0.079593,            0.033027,           0.0075005,            0.064111,             0.21396,             0.02527,           0.0062253,            0.083113,            0.043077,            0.030946,           0.0019076,           0.0019076,            0.081608
                  51,            0.079507,            0.037192,           0.0087517,             0.12023,              0.2345,            0.067081,            0.014982,            0.072459,            0.021699,            0.015561,           0.0019403,           0.0019403,             0.08124
                  52,            0.080735,            0.033718,           0.0079713,             0.28505,             0.25723,             0.18067,            0.038381,            0.069135,            0.021785,           0.0087662,           0.0019727,           0.0019727,            0.080873
                  53,            0.078849,            0.037406,           0.0078382,             0.20218,             0.25461,             0.11849,            0.028675,            0.066852,            0.021571,           0.0092603,           0.0020048,           0.0020048,            0.080505
                  54,            0.079629,              0.0369,           0.0083538,             0.32424,             0.22188,             0.15712,            0.036437,            0.065356,            0.029115,             0.02652,           0.0020366,           0.0020366,            0.080137
                  55,            0.079865,            0.033322,           0.0066562,             0.16853,             0.18198,            0.076326,            0.021403,            0.071969,            0.049566,           0.0091829,           0.0020681,           0.0020681,            0.079768
                  56,             0.07704,            0.033836,           0.0068148,             0.31713,              0.3545,             0.20342,            0.040768,             0.07198,            0.020305,           0.0078505,           0.0020993,           0.0020993,            0.079399
                  57,            0.080727,            0.034478,           0.0059176,             0.31736,             0.31973,             0.19834,             0.05488,            0.066228,            0.052085,            0.039059,           0.0021303,           0.0021303,             0.07903
                  58,            0.080225,            0.033255,           0.0055242,             0.28958,             0.42998,             0.21405,            0.045794,            0.070687,            0.018204,           0.0065649,           0.0021609,           0.0021609,            0.078661
                  59,            0.077616,            0.034609,           0.0053618,              0.2952,             0.47089,             0.24096,            0.066384,            0.065227,            0.016946,           0.0063043,           0.0021912,           0.0021912,            0.078291
                  60,            0.076908,             0.03526,           0.0057566,             0.32792,             0.50163,             0.29553,            0.067887,            0.068046,            0.015987,           0.0035695,           0.0022212,           0.0022212,            0.077921
                  61,            0.076955,            0.033106,           0.0066216,             0.32999,             0.40713,             0.28537,            0.066025,            0.068519,            0.015259,           0.0046807,           0.0022508,           0.0022508,            0.077551
                  62,             0.07719,            0.031134,           0.0051208,             0.43975,             0.49826,             0.39259,            0.098543,            0.063845,            0.014841,           0.0041858,           0.0022802,           0.0022802,             0.07718
                  63,            0.073513,            0.035639,           0.0056105,             0.40036,             0.45637,              0.3002,            0.075185,            0.065675,             0.01567,           0.0041673,           0.0023092,           0.0023092,            0.076809
                  64,            0.076798,            0.032821,           0.0046834,             0.38881,             0.45017,             0.33254,            0.086885,            0.060392,            0.019371,           0.0033111,           0.0023379,           0.0023379,            0.076438
                  65,            0.076332,            0.035663,           0.0053536,              0.2885,             0.50198,             0.28556,            0.077535,            0.064133,            0.018675,            0.004615,           0.0023663,           0.0023663,            0.076066
                  66,            0.075693,            0.033373,           0.0047998,             0.45565,             0.44815,             0.40698,             0.12062,            0.059757,              0.0145,           0.0033227,           0.0023943,           0.0023943,            0.075694
                  67,            0.071821,            0.032999,           0.0048923,             0.42764,             0.40883,             0.37037,             0.11771,            0.057739,            0.015109,           0.0097252,           0.0024219,           0.0024219,            0.075322
                  68,             0.07429,            0.029298,            0.004412,             0.27586,             0.53052,             0.26208,            0.072653,             0.07342,            0.015202,            0.003945,           0.0024493,           0.0024493,            0.074949
                  69,            0.076959,            0.031958,            0.005617,             0.37172,             0.40217,             0.28206,            0.090028,            0.064988,            0.018467,           0.0047055,           0.0024763,           0.0024763,            0.074576
                  70,            0.079103,            0.036133,           0.0051215,             0.30423,             0.38061,             0.24833,            0.070752,            0.066355,            0.017526,            0.025799,           0.0025029,           0.0025029,            0.074203
                  71,            0.072618,             0.03138,           0.0043309,             0.37586,             0.39682,             0.28671,            0.090843,            0.058422,            0.018331,            0.032647,           0.0025292,           0.0025292,            0.073829
                  72,            0.072386,            0.034102,           0.0046315,             0.47646,             0.52487,             0.43796,             0.11726,            0.059166,            0.018461,           0.0054283,           0.0025551,           0.0025551,            0.073455
                  73,            0.073235,            0.030803,           0.0053703,             0.39374,             0.50382,             0.36091,            0.098981,              0.0618,            0.018109,            0.012276,           0.0025806,           0.0025806,            0.073081
                  74,            0.076858,            0.029329,            0.004093,             0.41292,             0.34527,             0.26468,            0.069851,             0.06479,             0.01573,            0.016991,           0.0026058,           0.0026058,            0.072706
                  75,             0.07473,            0.033643,           0.0036423,             0.54683,             0.54715,             0.54311,             0.15645,            0.056191,            0.014613,           0.0042134,           0.0026306,           0.0026306,            0.072331
                  76,              0.0716,            0.034021,           0.0031223,             0.54534,             0.58148,             0.48994,             0.15747,            0.051227,            0.015094,           0.0034944,           0.0026551,           0.0026551,            0.071955
                  77,            0.071504,             0.03044,           0.0030321,              0.3479,             0.55184,             0.32895,             0.09786,            0.059524,            0.013602,           0.0025185,           0.0026792,           0.0026792,            0.071579
                  78,            0.070205,            0.033322,           0.0040811,             0.51282,             0.56454,             0.49883,             0.14372,            0.057196,            0.013051,           0.0017023,           0.0027028,           0.0027028,            0.071203
                  79,            0.074302,            0.030541,           0.0038129,             0.55112,             0.52462,             0.54409,             0.17946,            0.053461,             0.01407,           0.0027009,           0.0027262,           0.0027262,            0.070826
                  80,            0.070824,            0.029645,            0.003129,             0.67396,             0.58983,             0.63163,             0.20022,            0.050388,            0.013444,           0.0023782,           0.0027491,           0.0027491,            0.070449
                  81,            0.070702,            0.031002,           0.0029491,             0.55475,             0.59259,             0.57166,             0.22347,            0.049399,            0.013219,           0.0019532,           0.0027716,           0.0027716,            0.070072
                  82,            0.070002,             0.02873,           0.0030861,             0.46141,             0.62832,             0.51226,             0.17437,            0.055005,            0.013138,           0.0020028,           0.0027938,           0.0027938,            0.069694
                  83,            0.071945,            0.030811,           0.0035152,             0.56827,              0.5184,             0.55545,             0.19617,            0.052151,            0.012495,           0.0035648,           0.0028155,           0.0028155,            0.069316
                  84,            0.069283,            0.029777,           0.0035372,             0.43367,             0.62666,             0.47809,             0.14616,            0.052899,            0.013046,           0.0034564,           0.0028369,           0.0028369,            0.068937
                  85,             0.06839,            0.030073,           0.0033081,             0.45765,             0.68919,             0.53438,             0.17241,             0.04866,             0.01219,           0.0014447,           0.0028579,           0.0028579,            0.068558
                  86,            0.066693,            0.028869,           0.0031782,             0.67951,             0.64042,             0.66319,             0.24767,            0.048793,            0.012452,           0.0016544,           0.0028784,           0.0028784,            0.068178
                  87,            0.066264,            0.030885,           0.0031559,             0.44979,             0.56348,             0.46264,             0.13143,            0.055459,            0.014159,           0.0037483,           0.0028986,           0.0028986,            0.067799
                  88,            0.067334,            0.029626,           0.0038191,             0.48182,             0.56181,             0.45166,             0.11976,            0.056687,            0.013281,           0.0070891,           0.0029183,           0.0029183,            0.067418
                  89,            0.070107,             0.03105,           0.0029741,             0.47063,             0.64811,             0.51579,             0.15352,            0.052895,             0.01184,           0.0026195,           0.0029377,           0.0029377,            0.067038
                  90,            0.067614,            0.030751,           0.0037929,             0.25926,             0.37856,              0.2404,            0.056498,            0.066591,            0.018117,            0.012914,           0.0029566,           0.0029566,            0.066657
                  91,            0.070185,            0.031717,           0.0032643,             0.42968,             0.39549,             0.35674,             0.10909,            0.057246,            0.018226,            0.018525,           0.0029752,           0.0029752,            0.066275
                  92,            0.069074,             0.03112,           0.0037051,             0.54191,             0.47367,             0.48302,             0.12779,            0.057038,            0.014328,           0.0090627,           0.0029933,           0.0029933,            0.065893
                  93,            0.068356,            0.028942,           0.0025471,             0.58373,             0.51917,              0.5283,             0.14281,            0.059738,            0.013107,           0.0055451,            0.003011,            0.003011,            0.065511
                  94,             0.06984,              0.0279,           0.0024328,             0.60901,             0.51052,             0.53508,             0.17821,            0.052732,            0.012431,           0.0035717,           0.0030283,           0.0030283,            0.065128
                  95,            0.065626,            0.029268,           0.0030158,             0.57125,             0.56176,              0.5201,             0.18936,            0.054855,            0.012407,            0.002438,           0.0030452,           0.0030452,            0.064745
                  96,            0.069259,            0.028497,           0.0032218,             0.57822,             0.57337,             0.57431,             0.17683,            0.052229,            0.012941,           0.0029145,           0.0030616,           0.0030616,            0.064362
                  97,            0.066773,            0.028912,           0.0032532,              0.5524,              0.5813,             0.54566,             0.14037,            0.060058,            0.011401,           0.0017407,           0.0030777,           0.0030777,            0.063978
                  98,            0.068125,            0.028633,            0.002706,             0.66446,             0.58187,             0.60795,             0.20358,            0.047103,            0.012018,           0.0021446,           0.0030933,           0.0030933,            0.063593
                  99,             0.06464,             0.03015,           0.0023394,             0.63007,             0.62981,             0.64137,             0.22703,            0.049751,            0.012132,           0.0020854,           0.0031085,           0.0031085,            0.063208
                 100,            0.063921,            0.028631,           0.0025984,             0.67238,             0.58497,             0.67002,             0.24069,            0.051063,            0.012139,           0.0018437,           0.0031232,           0.0031232,            0.062823
                 101,            0.062903,            0.027518,           0.0025728,              0.5951,              0.6443,             0.62549,             0.19326,            0.052889,            0.011829,           0.0016709,           0.0031376,           0.0031376,            0.062438
                 102,            0.065342,            0.029753,           0.0024512,             0.65302,             0.62012,             0.66058,             0.19218,            0.055975,             0.01192,           0.0017498,           0.0031515,           0.0031515,            0.062052
                 103,            0.069666,            0.028411,           0.0029183,             0.75742,             0.66663,             0.72925,              0.2686,            0.045475,             0.01275,           0.0017662,            0.003165,            0.003165,            0.061665
                 104,            0.066259,            0.027214,           0.0025198,             0.70134,             0.65208,             0.70141,             0.28068,            0.044778,            0.012368,           0.0015551,            0.003178,            0.003178,            0.061278
                 105,             0.06337,            0.029609,           0.0023614,             0.71945,             0.65924,             0.73219,             0.25433,            0.049851,             0.01242,           0.0021688,           0.0031907,           0.0031907,            0.060891
                 106,             0.06508,            0.030168,           0.0024924,             0.75581,             0.63192,             0.72757,             0.28811,            0.045649,            0.011774,           0.0013713,           0.0032029,           0.0032029,            0.060503
                 107,             0.06391,            0.027846,           0.0020869,             0.65106,             0.69989,             0.71865,             0.26385,             0.04521,            0.011553,           0.0014845,           0.0032146,           0.0032146,            0.060115
                 108,            0.063358,            0.028885,           0.0022973,             0.78439,              0.6165,             0.72212,             0.23842,             0.04644,            0.011841,           0.0016394,            0.003226,            0.003226,            0.059726
                 109,            0.063558,            0.028755,           0.0030359,             0.72289,             0.63222,              0.6965,             0.26294,            0.046568,            0.011126,           0.0020626,           0.0032369,           0.0032369,            0.059337
                 110,            0.062241,            0.029986,           0.0023556,             0.79251,             0.55833,             0.65217,             0.22345,            0.047902,            0.011381,           0.0028757,           0.0032473,           0.0032473,            0.058947
                 111,            0.063441,            0.027029,            0.002663,             0.60181,             0.67764,             0.67632,              0.2088,            0.053837,            0.011836,           0.0020414,           0.0032574,           0.0032574,            0.058557
                 112,            0.060443,            0.024932,           0.0021607,             0.75951,             0.67083,              0.7357,             0.25724,              0.0485,            0.011615,            0.002162,            0.003267,            0.003267,            0.058167
                 113,            0.059366,             0.02836,            0.002274,             0.75914,             0.69729,             0.77853,             0.28551,            0.045631,            0.011494,           0.0011712,           0.0032761,           0.0032761,            0.057776
                 114,            0.061824,            0.028266,           0.0022676,             0.65864,             0.66648,              0.7003,             0.24391,            0.050312,            0.011274,           0.0011854,           0.0032849,           0.0032849,            0.057385
                 115,            0.062438,            0.030567,           0.0021479,             0.80524,             0.63923,             0.76226,             0.27562,            0.048674,            0.011539,           0.0012072,           0.0032932,           0.0032932,            0.056993
                 116,            0.066917,            0.027705,           0.0021993,              0.8313,             0.70192,             0.80462,             0.32825,            0.043475,            0.011484,           0.0030952,            0.003301,            0.003301,            0.056601
                 117,             0.06309,             0.02995,               0.002,             0.67532,             0.59154,             0.64382,             0.20898,            0.048164,            0.012738,           0.0037592,           0.0033085,           0.0033085,            0.056208
                 118,            0.063298,            0.030669,           0.0017525,              0.7992,             0.63833,             0.72032,             0.25256,            0.048278,            0.012161,           0.0011747,           0.0033155,           0.0033155,            0.055815
                 119,            0.063228,            0.025037,           0.0019812,             0.76462,             0.66094,             0.72125,             0.24345,             0.05087,             0.01156,           0.0013226,            0.003322,            0.003322,            0.055422
                 120,            0.061679,             0.02646,           0.0018352,             0.78528,             0.69967,             0.77657,             0.28724,            0.042987,            0.011325,           0.0016263,           0.0033281,           0.0033281,            0.055028
                 121,            0.063377,            0.029664,           0.0023448,             0.77877,             0.74681,             0.81465,             0.32394,            0.041504,            0.011775,           0.0018957,           0.0033338,           0.0033338,            0.054634
                 122,            0.058385,             0.02744,            0.002402,             0.77201,             0.72729,             0.80356,             0.30207,            0.044695,            0.011302,           0.0014135,           0.0033391,           0.0033391,            0.054239
                 123,            0.059601,            0.024564,           0.0021472,              0.8093,              0.7352,             0.80653,             0.32856,            0.042043,            0.011472,           0.0010184,            0.003344,            0.003344,            0.053844
                 124,            0.057858,            0.026787,            0.002243,             0.73963,             0.75073,             0.78277,             0.27754,            0.045896,            0.011128,           0.0014705,           0.0033484,           0.0033484,            0.053448
                 125,            0.062249,            0.024692,            0.001844,              0.7519,             0.58082,             0.65341,             0.23546,            0.047537,            0.013435,            0.011537,           0.0033523,           0.0033523,            0.053052
                 126,             0.05934,             0.02879,           0.0025054,             0.61435,             0.63051,             0.63975,             0.20607,            0.050963,            0.011881,           0.0023352,           0.0033559,           0.0033559,            0.052656
                 127,            0.061299,            0.027039,           0.0016938,             0.68981,             0.69009,             0.74178,             0.27422,            0.044417,            0.011155,            0.002019,            0.003359,            0.003359,            0.052259
                 128,            0.058524,            0.027226,           0.0023488,             0.81335,              0.7349,             0.80883,             0.30864,            0.043571,            0.011363,           0.0019766,           0.0033617,           0.0033617,            0.051862
                 129,            0.059078,            0.028198,           0.0019519,             0.84637,             0.67952,              0.8024,             0.31688,            0.041261,            0.011481,            0.001839,            0.003364,            0.003364,            0.051464
                 130,            0.057729,            0.027156,           0.0018371,             0.74077,             0.70256,             0.76131,             0.29101,            0.044957,            0.011357,           0.0017552,           0.0033658,           0.0033658,            0.051066
                 131,             0.05645,            0.027658,           0.0020933,             0.64993,              0.7383,              0.7324,             0.28556,              0.0433,            0.011234,           0.0024292,           0.0033672,           0.0033672,            0.050667
                 132,            0.059163,            0.026563,           0.0016388,             0.71733,             0.77922,              0.7753,             0.31471,            0.042008,            0.011474,           0.0021885,           0.0033682,           0.0033682,            0.050268
                 133,            0.054311,            0.025914,           0.0019357,              0.6563,             0.67069,             0.67932,              0.2607,            0.044963,            0.012009,           0.0017583,           0.0033688,           0.0033688,            0.049869
                 134,            0.057621,             0.03003,           0.0019585,             0.78118,             0.74163,             0.80974,             0.31058,            0.043561,             0.01113,           0.0017663,            0.003369,            0.003369,            0.049469
                 135,            0.057809,            0.025467,           0.0019966,             0.83158,             0.73686,             0.82029,             0.29484,            0.044231,             0.01135,           0.0024817,           0.0033687,           0.0033687,            0.049069
                 136,            0.059912,             0.02824,           0.0018359,             0.80452,             0.66182,             0.76793,             0.27362,            0.047771,            0.010751,           0.0015111,           0.0033681,           0.0033681,            0.048668
                 137,            0.056138,            0.024309,           0.0015521,             0.82521,             0.72531,             0.81014,             0.31784,            0.041801,            0.011147,           0.0013136,            0.003367,            0.003367,            0.048267
                 138,            0.056621,            0.028272,           0.0020106,             0.74755,             0.72008,             0.78125,             0.31314,            0.044444,            0.010983,           0.0013204,           0.0033655,           0.0033655,            0.047866
                 139,            0.059517,            0.027279,            0.001627,             0.80716,             0.73647,             0.80634,             0.30947,            0.043192,            0.010871,           0.0017691,           0.0033636,           0.0033636,            0.047464
                 140,            0.056928,            0.026426,           0.0015523,             0.84914,             0.75668,             0.84208,             0.35579,            0.042406,            0.010775,          0.00085703,           0.0033613,           0.0033613,            0.047061
                 141,            0.055854,            0.024783,           0.0018036,             0.79657,             0.70288,             0.76328,             0.27621,             0.04456,            0.011277,           0.0011206,           0.0033586,           0.0033586,            0.046659
                 142,            0.058685,            0.025506,           0.0013759,             0.85487,             0.76834,             0.84903,             0.34729,            0.040393,            0.011062,           0.0015884,           0.0033555,           0.0033555,            0.046256
                 143,            0.057548,            0.026661,           0.0020635,             0.86195,             0.76384,             0.84698,             0.34956,            0.039587,            0.011014,          0.00076326,            0.003352,            0.003352,            0.045852
                 144,             0.05646,            0.025311,           0.0017338,             0.79128,             0.74221,             0.81906,             0.31047,             0.04479,            0.011096,           0.0016235,           0.0033481,           0.0033481,            0.045448
                 145,            0.059757,            0.024368,           0.0015652,             0.82095,             0.72049,             0.78337,             0.29652,            0.045332,            0.011501,           0.0016824,           0.0033438,           0.0033438,            0.045044
                 146,            0.054668,            0.025033,           0.0014215,             0.85862,             0.76538,             0.85357,             0.34169,            0.043208,            0.010906,           0.0012494,           0.0033391,           0.0033391,            0.044639
                 147,            0.056609,            0.030386,           0.0012784,             0.73695,             0.77876,             0.81938,             0.32858,            0.044155,            0.010812,            0.001438,            0.003334,            0.003334,            0.044234
                 148,            0.054453,            0.024697,           0.0013926,             0.87094,             0.72959,             0.83443,             0.31312,             0.04495,            0.011124,            0.001509,           0.0033286,           0.0033286,            0.043829
